Timestamp,SrcPort,DstPort,FwdPktLenMax,FwdPktLenMin,FwdPktLenMean,Label
2017-05-07 09:30:00,49888,80,6,6,6.0,BENIGN
2017-05-07 09:30:00,49944,443,202,0,69.375,BENIGN
2017-05-07 09:30:00,49983,80,427,0,144.3333333,BENIGN
2017-05-07 09:30:00,49990,80,6,6,6.0,BENIGN
2017-05-07 09:30:00,50013,443,6,0,4.0,BENIGN
2017-05-07 09:30:00,50019,80,6,6,6.0,BENIGN
2017-05-07 09:30:00,50026,80,6,6,6.0,BENIGN
2017-05-07 09:30:00,443,50022,6,6,6.0,BENIGN
2017-05-07 09:30:00,80,49856,6,6,6.0,BENIGN
2017-05-07 09:30:00,50052,80,562,0,189.3333333,BENIGN
2017-05-07 09:30:00,50067,80,314,0,81.5,BENIGN
2017-05-07 09:30:00,50015,443,6,6,6.0,BENIGN
2017-05-07 09:30:00,49922,80,313,0,115.125,BENIGN
2017-05-07 09:30:00,50069,80,6,6,6.0,BENIGN
2017-05-07 09:30:00,43646,443,46,6,27.0,BENIGN
2017-05-07 09:30:00,49931,443,517,0,101.8333333,BENIGN
2017-05-07 09:30:00,80,49934,6,6,6.0,BENIGN
2017-05-07 09:30:00,50016,80,6,0,4.0,BENIGN
2017-05-07 09:30:00,50017,443,6,6,6.0,BENIGN
2017-05-07 09:30:00,50002,443,205,0,48.25,BENIGN
2017-05-07 09:30:00,443,50002,31,6,18.5,BENIGN
2017-05-07 09:30:00,443,50025,6,6,6.0,BENIGN
2017-05-07 09:30:00,36425,80,430,0,143.3333333,BENIGN
2017-05-07 09:30:00,50090,80,524,0,107.2,BENIGN
2017-05-07 09:30:00,50090,80,6,6,6.0,BENIGN
2017-05-07 09:30:00,50091,80,6,0,4.0,BENIGN
2017-05-07 09:30:00,50095,80,6,0,4.0,BENIGN
2017-05-07 09:30:00,49950,443,369,0,89.0,BENIGN
2017-05-07 09:30:00,59370,443,520,0,63.10526316,BENIGN
2017-05-07 09:30:00,39244,80,0,0,0.0,BENIGN
2017-05-07 09:30:00,443,50105,6,6,6.0,BENIGN
2017-05-07 09:30:00,80,49864,6,6,6.0,BENIGN
2017-05-07 09:30:00,39538,443,517,0,124.8,BENIGN
2017-05-07 09:30:00,59349,443,0,0,0.0,BENIGN
2017-05-07 09:30:00,59357,443,522,0,6.406542056,BENIGN
2017-05-07 09:30:00,44190,22,456,0,61.95348837,BENIGN
2017-05-07 09:30:00,50111,443,206,0,59.33333333,BENIGN
2017-05-07 09:30:00,34172,443,517,0,86.8125,BENIGN
2017-05-07 09:30:00,34182,443,517,0,39.10909091,BENIGN
2017-05-07 09:30:00,34173,443,517,0,29.46575342,BENIGN
2017-05-07 09:30:00,34144,443,398,0,35.68,BENIGN
2017-05-07 09:30:00,34179,443,517,0,34.88709677,BENIGN
2017-05-07 09:30:00,34184,443,517,0,34.58823529,BENIGN
2017-05-07 09:30:00,80,50095,6,6,6.0,BENIGN
2017-05-07 09:30:00,50291,12082,2920,0,1245.4375,BENIGN
2017-05-07 09:30:00,15703,51644,0,0,0.0,BENIGN
2017-05-07 09:30:00,44306,21,43,0,8.8,BENIGN
2017-05-07 09:30:00,55266,443,778,0,86.53125,BENIGN
2017-05-07 09:30:00,55270,443,0,0,0.0,BENIGN
2017-05-07 09:30:00,50054,443,917,0,153.5,BENIGN
2017-05-07 09:30:00,50055,443,917,0,140.0909091,BENIGN
2017-05-07 09:30:00,443,50055,6,6,6.0,BENIGN
2017-05-07 09:30:00,443,50235,6,6,6.0,BENIGN
2017-05-07 09:30:00,55268,443,0,0,0.0,BENIGN
2017-05-07 09:30:00,32899,443,1980,0,405.7692308,BENIGN
2017-05-07 09:30:00,50246,443,46,6,27.0,BENIGN
2017-05-07 09:30:00,443,50244,6,6,6.0,BENIGN
2017-05-07 09:30:00,35640,443,309,0,50.0,BENIGN
2017-05-07 09:30:00,55267,443,742,0,62.76923077,BENIGN
2017-05-07 09:30:00,49882,80,299,0,53.83333333,BENIGN
2017-05-07 09:30:00,15251,443,31,6,14.33333333,BENIGN
2017-05-07 09:30:00,15245,80,6,6,6.0,BENIGN
2017-05-07 09:30:00,15253,443,31,6,14.33333333,BENIGN
